1;"3ºE A";"CN 2 ";"BG   ";"     ";4;3
92;"1BlA ";"EC 1 ";"ECN  ";"     ";3;3
93;"1BlA ";"CC 1 ";"GRI  ";"     ";3;3
94;"1BlA ";"EC 1 ";"ECN  ";"     ";5;3
95;"1BlA ";"CC 1 ";"GRI  ";"     ";5;3
96;"1BlA ";"EC 1 ";"ECN  ";"     ";2;1
97;"1BlA ";"CC 1 ";"GRI  ";"     ";2;1
98;"2BlA ";"SO 4 ";"LCL  ";"     ";1;2
99;"2BcB ";"SO 4 ";"LCL  ";"     ";1;2
100;"2BlA ";"LE 4 ";"LCL  ";"     ";1;2
101;"2BcB ";"LE 4 ";"LCL  ";"     ";1;2
102;"2BlA ";"SO 4 ";"LCL  ";"     ";3;3
103;"2BcB ";"SO 4 ";"LCL  ";"     ";3;3
104;"2BlA ";"LE 4 ";"LCL  ";"     ";3;3
105;"2BcB ";"LE 4 ";"LCL  ";"     ";3;3
106;"2BlA ";"SO 4 ";"LCL  ";"     ";4;2
107;"2BcB ";"SO 4 ";"LCL  ";"     ";4;2
108;"2BlA ";"LE 4 ";"LCL  ";"     ";4;2
109;"2BcB ";"LE 4 ";"LCL  ";"     ";4;2
110;"2BlA ";"FL 1 ";"FIL  ";"     ";5;6
111;"2BcB ";"FL 1 ";"FIL  ";"     ";5;6
112;"2BlA ";"FL 1 ";"FIL  ";"     ";3;6
113;"2BcB ";"FL 1 ";"FIL  ";"     ";3;6
114;"2BlA ";"FL 1 ";"FIL  ";"     ";2;1
115;"2BcB ";"FL 1 ";"FIL  ";"     ";2;1
116;"2BlA ";"IN 2 ";"IN1  ";"     ";5;5
117;"2BcB ";"IN 2 ";"IN1  ";"     ";5;5
118;"2BlA ";"IN 2 ";"IN1  ";"     ";1;1
119;"2BcB ";"IN 2 ";"IN1  ";"     ";1;1
120;"2BlA ";"IN 2 ";"IN1  ";"     ";3;1
121;"2BcB ";"IN 2 ";"IN1  ";"     ";3;1
122;"2BlA ";"FR 2 ";"FRA  ";"     ";5;1
123;"2BcB ";"FR 2 ";"FRA  ";"     ";5;1
124;"2BlA ";"FR 2 ";"FRA  ";"     ";2;6
125;"2BcB ";"FR 2 ";"FRA  ";"     ";2;6
126;"2BlA ";"RE 2 ";"REL  ";"     ";4;1
127;"2BcB ";"RE 2 ";"REL  ";"     ";4;1
128;"2BlA ";"OR 1 ";"CUL  ";"     ";4;1
129;"2BcB ";"OR 1 ";"CUL  ";"     ";4;1
130;"2BlA ";"MA 3 ";"MII  ";"     ";4;5
131;"2BcB ";"MA 3 ";"MII  ";"     ";4;5
132;"2BlA ";"MA 4 ";"MCS  ";"     ";4;5
133;"2BcB ";"MA 4 ";"MCS  ";"     ";4;5
134;"2BlA ";"CN 2 ";"CTM  ";"     ";4;5
135;"2BcB ";"CN 2 ";"CTM  ";"     ";4;5
136;"2BlA ";"SO 2 ";"HAR  ";"     ";4;5
137;"2BcB ";"SO 2 ";"HAR  ";"     ";4;5
138;"2BlA ";"MA 3 ";"MII  ";"     ";3;2
139;"2BcB ";"MA 3 ";"MII  ";"     ";3;2
140;"2BlA ";"MA 4 ";"MCS  ";"     ";3;2
141;"2BcB ";"MA 4 ";"MCS  ";"     ";3;2
142;"2BlA ";"CN 2 ";"CTM  ";"     ";3;2
143;"2BcB ";"CN 2 ";"CTM  ";"     ";3;2
144;"2BlA ";"SO 2 ";"HAR  ";"     ";3;2
145;"2BcB ";"SO 2 ";"HAR  ";"     ";3;2
146;"2BlA ";"MA 3 ";"MII  ";"     ";1;5
147;"2BcB ";"MA 3 ";"MII  ";"     ";1;5
148;"2BlA ";"MA 4 ";"MCS  ";"     ";1;5
149;"2BcB ";"MA 4 ";"MCS  ";"     ";1;5
150;"2BlA ";"CN 2 ";"CTM  ";"     ";1;5
151;"2BcB ";"CN 2 ";"CTM  ";"     ";1;5
152;"2BlA ";"SO 2 ";"HAR  ";"     ";1;5
153;"2BcB ";"SO 2 ";"HAR  ";"     ";1;5
154;"2BlA ";"MA 3 ";"MII  ";"     ";2;2
155;"2BcB ";"MA 3 ";"MII  ";"     ";2;2
156;"2BlA ";"MA 4 ";"MCS  ";"     ";2;2
157;"2BcB ";"MA 4 ";"MCS  ";"     ";2;2
158;"2BlA ";"CN 2 ";"CTM  ";"     ";2;2
159;"2BcB ";"CN 2 ";"CTM  ";"     ";2;2
160;"2BlA ";"SO 2 ";"HAR  ";"     ";2;2
161;"2BcB ";"SO 2 ";"HAR  ";"     ";2;2
162;"2BlA ";"DI 1 ";"DBT  ";"     ";4;4
163;"2BcB ";"DI 1 ";"DBT  ";"     ";4;4
164;"2BlA ";"CC 1 ";"GRI  ";"     ";4;4
165;"2BcB ";"CC 1 ";"GRI  ";"     ";4;4
166;"2BlA ";"FQ 2 ";"QUI  ";"     ";4;4
167;"2BcB ";"FQ 2 ";"QUI  ";"     ";4;4
168;"2BlA ";"EC 1 ";"ECN  ";"     ";4;4
169;"2BcB ";"EC 1 ";"ECN  ";"     ";4;4
170;"2BlA ";"DI 1 ";"DBT  ";"     ";2;3
171;"2BcB ";"DI 1 ";"DBT  ";"     ";2;3
172;"2BlA ";"CC 1 ";"GRI  ";"     ";2;3
173;"2BcB ";"CC 1 ";"GRI  ";"     ";2;3
174;"2BlA ";"FQ 2 ";"QUI  ";"     ";2;3
175;"2BcB ";"FQ 2 ";"QUI  ";"     ";2;3
176;"2BlA ";"EC 1 ";"ECN  ";"     ";2;3
177;"2BcB ";"EC 1 ";"ECN  ";"     ";2;3
178;"2BlA ";"DI 1 ";"DBT  ";"     ";5;4
179;"2BcB ";"DI 1 ";"DBT  ";"     ";5;4
180;"2BlA ";"CC 1 ";"GRI  ";"     ";5;4
181;"2BcB ";"CC 1 ";"GRI  ";"     ";5;4
182;"2BlA ";"FQ 2 ";"QUI  ";"     ";5;4
183;"2BcB ";"FQ 2 ";"QUI  ";"     ";5;4
184;"2BlA ";"EC 1 ";"ECN  ";"     ";5;4
185;"2BcB ";"EC 1 ";"ECN  ";"     ";5;4
186;"2BlA ";"DI 1 ";"DBT  ";"     ";3;4
187;"2BcB ";"DI 1 ";"DBT  ";"     ";3;4
188;"2BlA ";"CC 1 ";"GRI  ";"     ";3;4
189;"2BcB ";"CC 1 ";"GRI  ";"     ";3;4
190;"2BlA ";"FQ 2 ";"QUI  ";"     ";3;4
191;"2BcB ";"FQ 2 ";"QUI  ";"     ";3;4
192;"2BlA ";"EC 1 ";"ECN  ";"     ";3;4
193;"2BcB ";"EC 1 ";"ECN  ";"     ";3;4
194;"2BlA ";"FQ 1 ";"FIS  ";"     ";4;3
195;"2BcB ";"FQ 1 ";"FIS  ";"     ";4;3
196;"2BlA ";"CN 1 ";"BIO  ";"     ";4;3
197;"2BcB ";"CN 1 ";"BIO  ";"     ";4;3
198;"2BlA ";"CC 1 ";"LAT  ";"     ";4;3
199;"2BcB ";"CC 1 ";"LAT  ";"     ";4;3
200;"2BlA ";"SO 1 ";"GEO  ";"     ";4;3
201;"2BcB ";"SO 1 ";"GEO  ";"     ";4;3
202;"2BlA ";"FQ 1 ";"FIS  ";"     ";5;2
203;"2BcB ";"FQ 1 ";"FIS  ";"     ";5;2
204;"2BlA ";"CN 1 ";"BIO  ";"     ";5;2
205;"2BcB ";"CN 1 ";"BIO  ";"     ";5;2
206;"2BlA ";"CC 1 ";"LAT  ";"     ";5;2
207;"2BcB ";"CC 1 ";"LAT  ";"     ";5;2
208;"2BlA ";"SO 1 ";"GEO  ";"     ";5;2
209;"2BcB ";"SO 1 ";"GEO  ";"     ";5;2
210;"2BlA ";"FQ 1 ";"FIS  ";"     ";3;5
211;"2BcB ";"FQ 1 ";"FIS  ";"     ";3;5
212;"2BlA ";"CN 1 ";"BIO  ";"     ";3;5
213;"2BcB ";"CN 1 ";"BIO  ";"     ";3;5
214;"2BlA ";"CC 1 ";"LAT  ";"     ";3;5
215;"2BcB ";"CC 1 ";"LAT  ";"     ";3;5
216;"2BlA ";"SO 1 ";"GEO  ";"     ";3;5
217;"2BcB ";"SO 1 ";"GEO  ";"     ";3;5
218;"2BlA ";"FQ 1 ";"FIS  ";"     ";1;4
219;"2BcB ";"FQ 1 ";"FIS  ";"     ";1;4
220;"2BlA ";"CN 1 ";"BIO  ";"     ";1;4
221;"2BcB ";"CN 1 ";"BIO  ";"     ";1;4
222;"2BlA ";"CC 1 ";"LAT  ";"     ";1;4
223;"2BcB ";"CC 1 ";"LAT  ";"     ";1;4
224;"2BlA ";"SO 1 ";"GEO  ";"     ";1;4
225;"2BcB ";"SO 1 ";"GEO  ";"     ";1;4
226;"4ºE A";"FR 2 ";"FRA  ";"     ";4;6
227;"4ºEdi";"FR 2 ";"FRA  ";"     ";4;6
228;"4ºE A";"IF 1 ";"INF  ";"2.1  ";4;6
229;"4ºEdi";"IF 1 ";"INF  ";"2.1  ";4;6
230;"4ºE A";"FR 2 ";"FRA  ";"     ";2;5
231;"4ºEdi";"FR 2 ";"FRA  ";"     ";2;5
232;"4ºE A";"IF 1 ";"INF  ";"2.1  ";2;5
233;"4ºEdi";"IF 1 ";"INF  ";"2.1  ";2;5
234;"GU   ";"IF 1 ";"GUARD";"     ";2;6
235;"GU   ";"IF 1 ";"GUARD";"     ";2;3
236;"GU   ";"EF 2 ";"GUARD";"     ";1;4
237;"GU   ";"EF 2 ";"GUARD";"     ";3;5
238;"GU   ";"EF 2 ";"GUARD";"     ";4;6
239;"GU   ";"EF 1 ";"GUARD";"     ";4;2
240;"GU   ";"EF 1 ";"GUARD";"     ";1;4
241;"GU   ";"FL 1 ";"GUARD";"     ";4;4
242;"GU   ";"FL 1 ";"GUARD";"     ";2;3
243;"GU   ";"FL 1 ";"GUARD";"     ";1;5
244;"GU   ";"TE 2 ";"GUARD";"     ";1;2
245;"GU   ";"TE 2 ";"GUARD";"     ";5;1
246;"GU   ";"TE 2 ";"GUARD";"     ";5;2
247;"GU   ";"TE 1 ";"GUARD";"     ";4;5
248;"GU   ";"TE 1 ";"GUARD";"     ";3;4
249;"GU   ";"MU 1 ";"GUARD";"     ";3;5
250;"GU   ";"MU 1 ";"GUARD";"     ";4;2
251;"GU   ";"IN 4 ";"GUARD";"     ";4;4
252;"GU   ";"IN 4 ";"GUARD";"     ";1;6
253;"GU   ";"IN 4 ";"GUARD";"     ";2;4
254;"GU   ";"IN 2 ";"GUARD";"     ";5;2
255;"GU   ";"IN 2 ";"GUARD";"     ";5;1
256;"GU   ";"IN 2 ";"GUARD";"     ";5;4
257;"GU   ";"IN 3 ";"GUARD";"     ";4;2
258;"GU   ";"IN 3 ";"GUARD";"     ";4;5
259;"GU   ";"IN 3 ";"GUARD";"     ";5;2
260;"GU   ";"IN 1 ";"GUARD";"     ";1;5
261;"GU   ";"IN 1 ";"GUARD";"     ";2;5
262;"GU   ";"IN 1 ";"GUARD";"     ";3;2
263;"GU   ";"FR 2 ";"GUARD";"     ";4;4
264;"GU   ";"FR 2 ";"GUARD";"     ";3;6
265;"GU   ";"FR 1 ";"GUARD";"     ";3;1
266;"GU   ";"FR 1 ";"GUARD";"     ";3;4
267;"GU   ";"FR 1 ";"GUARD";"     ";2;2
268;"GU   ";"SO 2 ";"GUARD";"     ";5;3
269;"GU   ";"SO 2 ";"GUARD";"     ";1;2
270;"GU   ";"SO 2 ";"GUARD";"     ";1;1
271;"GU   ";"SO 3 ";"GUARD";"     ";1;3
272;"GU   ";"SO 3 ";"GUARD";"     ";2;6
273;"GU   ";"SO 1 ";"GUARD";"     ";1;5
274;"GU   ";"SO 1 ";"GUARD";"     ";1;6
275;"GU   ";"CC 1 ";"GUARD";"     ";4;5
276;"GU   ";"CC 1 ";"GUARD";"     ";1;3
277;"GU   ";"CN 2 ";"GUARD";"     ";3;4
278;"GU   ";"CN 2 ";"GUARD";"     ";3;3
279;"GU   ";"CN 3 ";"GUARD";"     ";3;1
280;"GU   ";"CN 3 ";"GUARD";"     ";2;2
281;"GU   ";"CN 3 ";"GUARD";"     ";2;3
282;"GU   ";"CN 1 ";"GUARD";"     ";2;2
283;"GU   ";"CN 1 ";"GUARD";"     ";2;4
284;"GU   ";"CN 1 ";"GUARD";"     ";2;1
285;"GU   ";"MA 3 ";"GUARD";"     ";1;2
286;"GU   ";"MA 3 ";"GUARD";"     ";5;5
287;"GU   ";"MA 3 ";"GUARD";"     ";1;1
288;"GU   ";"MA 1 ";"GUARD";"     ";4;3
289;"GU   ";"MA 1 ";"GUARD";"     ";5;3
290;"GU   ";"MA 1 ";"GUARD";"     ";2;4
291;"GU   ";"MA 4 ";"GUARD";"     ";5;4
292;"GU   ";"MA 4 ";"GUARD";"     ";5;6
293;"GU   ";"MA 4 ";"GUARD";"     ";5;1
294;"GU   ";"MA 2 ";"GUARD";"     ";4;6
295;"GU   ";"MA 2 ";"GUARD";"     ";4;3
296;"GU   ";"MA 2 ";"GUARD";"     ";3;2
297;"GU   ";"FQ 1 ";"GUARD";"     ";4;1
298;"GU   ";"FQ 1 ";"GUARD";"     ";1;6
299;"GU   ";"FQ 1 ";"GUARD";"     ";3;1
300;"GU   ";"DI 1 ";"GUARD";"     ";4;3
301;"GU   ";"DI 1 ";"GUARD";"     ";3;5
302;"GU   ";"DI 2 ";"GUARD";"     ";5;5
303;"GU   ";"DI 2 ";"GUARD";"     ";4;1
304;"GU   ";"DI 2 ";"GUARD";"     ";1;3
305;"GU   ";"RE 2 ";"GUARD";"     ";5;6
306;"GU   ";"RE 2 ";"GUARD";"     ";3;6
307;"GU   ";"RE 2 ";"GUARD";"     ";3;3
308;"GU   ";"LE 3 ";"GUARD";"     ";5;3
309;"GU   ";"LE 3 ";"GUARD";"     ";2;5
310;"GU   ";"LE 3 ";"GUARD";"     ";2;1
311;"GU   ";"LE 2 ";"GUARD";"     ";2;1
312;"GU   ";"LE 2 ";"GUARD";"     ";1;1
313;"GU   ";"LE 2 ";"GUARD";"     ";2;6
314;"GU   ";"LE 5 ";"GUARD";"     ";3;6
315;"GU   ";"LE 5 ";"GUARD";"     ";5;5
316;"GU   ";"LE 4 ";"GUARD";"     ";1;4
317;"GU   ";"LE 4 ";"GUARD";"     ";2;5
318;"GU   ";"LE 4 ";"GUARD";"     ";5;4
319;"1ºE A";"CN 2 ";"CNA  ";"     ";4;1
320;"1ºE A";"CN 2 ";"CNA  ";"     ";2;3
321;"1ºE A";"CN 2 ";"CNA  ";"     ";1;3
322;"1ºE A";"DI 2 ";"EPV  ";"     ";1;5
323;"1ºE A";"DI 2 ";"MUS  ";"     ";4;2
324;"1ºE A";"TE 1 ";"TEC  ";"     ";3;1
325;"1ºE A";"TE 1 ";"TEC  ";"     ";1;1
326;"1ºE A";"TE 1 ";"TEC  ";"     ";4;3
327;"1ºE A";"MA 5 ";"CSO  ";"     ";4;4
328;"1ºE A";"MA 5 ";"CSO  ";"     ";1;6
329;"1ºE A";"MA 5 ";"CSO  ";"     ";2;6
330;"1ºE A";"LE 3 ";"LCL  ";"     ";3;5
331;"1ºE B";"LE 3 ";"LCL  ";"     ";3;5
332;"1ºE A";"IN 1 ";"LCL  ";"     ";3;5
333;"1ºE B";"IN 1 ";"LCL  ";"     ";3;5
334;"1ºE A";"OR 2 ";"LCL  ";"     ";3;5
335;"1ºE B";"OR 2 ";"LCL  ";"     ";3;5
336;"1ºE A";"LE 3 ";"LCL  ";"     ";2;4
337;"1ºE B";"LE 3 ";"LCL  ";"     ";2;4
338;"1ºE A";"IN 1 ";"LCL  ";"     ";2;4
339;"1ºE B";"IN 1 ";"LCL  ";"     ";2;4
340;"1ºE A";"OR 2 ";"LCL  ";"     ";2;4
341;"1ºE B";"OR 2 ";"LCL  ";"     ";2;4
342;"1ºE A";"LE 3 ";"LCL  ";"     ";4;5
343;"1ºE B";"LE 3 ";"LCL  ";"     ";4;5
344;"1ºE A";"IN 1 ";"LCL  ";"     ";4;5
345;"1ºE B";"IN 1 ";"LCL  ";"     ";4;5
346;"1ºE A";"OR 2 ";"LCL  ";"     ";4;5
347;"1ºE B";"OR 2 ";"LCL  ";"     ";4;5
348;"1ºE A";"LE 3 ";"LCL  ";"     ";1;2
349;"1ºE B";"LE 3 ";"LCL  ";"     ";1;2
350;"1ºE A";"IN 1 ";"LCL  ";"     ";1;2
351;"1ºE B";"IN 1 ";"LCL  ";"     ";1;2
352;"1ºE A";"OR 2 ";"LCL  ";"     ";1;2
353;"1ºE B";"OR 2 ";"LCL  ";"     ";1;2
354;"1ºE A";"RE 1 ";"REL  ";"     ";1;4
355;"1ºE B";"RE 1 ";"REL  ";"     ";1;4
356;"1ºE C";"RE 1 ";"REL  ";"     ";1;4
357;"1ºE A";"RE 2 ";"REL  ";"     ";1;4
358;"1ºE B";"RE 2 ";"REL  ";"     ";1;4
359;"1ºE C";"RE 2 ";"REL  ";"     ";1;4
360;"1ºE A";"SO 4 ";"ALT  ";"     ";1;4
361;"1ºE B";"SO 4 ";"ALT  ";"     ";1;4
362;"1ºE C";"SO 4 ";"ALT  ";"     ";1;4
363;"1ºE A";"RE 1 ";"REL  ";"     ";5;4
364;"1ºE B";"RE 1 ";"REL  ";"     ";5;4
365;"1ºE C";"RE 1 ";"REL  ";"     ";5;4
366;"1ºE A";"RE 2 ";"REL  ";"     ";5;4
367;"1ºE B";"RE 2 ";"REL  ";"     ";5;4
368;"1ºE C";"RE 2 ";"REL  ";"     ";5;4
369;"1ºE A";"SO 4 ";"ALT  ";"     ";5;4
370;"1ºE B";"SO 4 ";"ALT  ";"     ";5;4
371;"1ºE C";"SO 4 ";"ALT  ";"     ";5;4
372;"1ºE A";"IN 1 ";"ING  ";"     ";5;1
373;"1ºE A";"IN 1 ";"ING  ";"     ";3;6
374;"1ºE A";"IN 1 ";"ING  ";"     ";2;2
375;"1ºE A";"MA 5 ";"MAT  ";"     ";2;5
376;"1ºE B";"MA 5 ";"MAT  ";"     ";2;5
377;"1ºE A";"MA 2 ";"MAT  ";"     ";2;5
378;"1ºE B";"MA 2 ";"MAT  ";"     ";2;5
379;"1ºE A";"MA 4 ";"MAT  ";"     ";2;5
380;"1ºE B";"MA 4 ";"MAT  ";"     ";2;5
381;"1ºE A";"MA 5 ";"MAT  ";"     ";3;4
382;"1ºE B";"MA 5 ";"MAT  ";"     ";3;4
383;"1ºE A";"MA 2 ";"MAT  ";"     ";3;4
384;"1ºE B";"MA 2 ";"MAT  ";"     ";3;4
385;"1ºE A";"MA 4 ";"MAT  ";"     ";3;4
386;"1ºE B";"MA 4 ";"MAT  ";"     ";3;4
387;"1ºE A";"MA 5 ";"MAT  ";"     ";5;3
388;"1ºE B";"MA 5 ";"MAT  ";"     ";5;3
389;"1ºE A";"MA 2 ";"MAT  ";"     ";5;3
390;"1ºE B";"MA 2 ";"MAT  ";"     ";5;3
391;"1ºE A";"MA 4 ";"MAT  ";"     ";5;3
392;"1ºE B";"MA 4 ";"MAT  ";"     ";5;3
393;"1ºE A";"EF 2 ";"EFI  ";"     ";5;5
394;"1ºE A";"EF 2 ";"EFI  ";"     ";2;1
395;"1ºE A";"LE 2 ";"RLE  ";"     ";3;2
396;"1ºE B";"LE 2 ";"RLE  ";"     ";3;2
397;"1ºE A";"LE 3 ";"RLE  ";"     ";3;2
398;"1ºE B";"LE 3 ";"RLE  ";"     ";3;2
399;"1ºE A";"FR 1 ";"SID  ";"     ";3;2
400;"1ºE B";"FR 1 ";"SID  ";"     ";3;2
401;"1ºE A";"LE 2 ";"RLE  ";"     ";5;2
402;"1ºE B";"LE 2 ";"RLE  ";"     ";5;2
403;"1ºE A";"LE 3 ";"RLE  ";"     ";5;2
404;"1ºE B";"LE 3 ";"RLE  ";"     ";5;2
405;"1ºE A";"FR 1 ";"SID  ";"     ";5;2
406;"1ºE B";"FR 1 ";"SID  ";"     ";5;2
407;"1ºE A";"TE 1 ";"TUT  ";"     ";3;3
408;"1ºE B";"CN 1 ";"CNA  ";"     ";1;5
409;"1ºE B";"CN 1 ";"CNA  ";"     ";5;1
410;"1ºE B";"CN 1 ";"CNA  ";"     ";2;6
411;"1ºE B";"DI 2 ";"EPV  ";"     ";1;1
412;"1ºE B";"DI 2 ";"MUS  ";"     ";3;3
413;"1ºE B";"TE 2 ";"TEC  ";"     ";4;2
414;"1ºE B";"TE 2 ";"TEC  ";"     ";1;6
415;"1ºE B";"TE 2 ";"TEC  ";"     ";2;1
416;"1ºE B";"SO 3 ";"CSO  ";"     ";5;5
417;"1ºE B";"SO 3 ";"CSO  ";"     ";2;3
418;"1ºE B";"SO 3 ";"CSO  ";"     ";4;3
419;"1ºE B";"IN 1 ";"ING  ";"     ";4;1
420;"1ºE B";"IN 1 ";"ING  ";"     ";3;1
421;"1ºE B";"IN 1 ";"ING  ";"     ";1;3
422;"1ºE B";"EF 2 ";"EFI  ";"     ";4;4
423;"1ºE B";"EF 2 ";"EFI  ";"     ";2;2
424;"1ºE B";"CN 1 ";"TUT  ";"     ";3;6
425;"1ºE C";"CN 2 ";"CNA  ";"     ";3;6
426;"1ºE C";"CN 2 ";"CNA  ";"     ";5;5
427;"1ºE C";"CN 2 ";"CNA  ";"     ";2;6
428;"1ºE C";"DI 2 ";"EPV  ";"     ";3;1
429;"1ºE C";"DI 2 ";"MUS  ";"     ";3;2
430;"1ºE C";"TE 2 ";"TEC  ";"     ";3;3
431;"1ºE C";"TE 2 ";"TEC  ";"     ";4;1
432;"1ºE C";"TE 2 ";"TEC  ";"     ";1;1
433;"1ºE C";"SO 3 ";"CSO  ";"     ";2;5
434;"1ºE C";"SO 3 ";"CSO  ";"     ";5;1
435;"1ºE C";"SO 3 ";"CSO  ";"     ";1;6
436;"1ºE C";"FR 1 ";"LCL  ";"     ";3;5
437;"1ºE D";"FR 1 ";"LCL  ";"     ";3;5
438;"1ºE C";"LE 1 ";"LCL  ";"     ";3;5
439;"1ºE D";"LE 1 ";"LCL  ";"     ";3;5
440;"1ºE C";"LE 2 ";"LCL  ";"     ";3;5
441;"1ºE D";"LE 2 ";"LCL  ";"     ";3;5
442;"1ºE C";"FR 1 ";"LCL  ";"     ";1;3
